,game_id,mp_date,season,home_team,away_team,home_odds,away_odds,home_goals,away_goals,home_win,settled_in,CF%,CSh%,CSv%,FF%,FSh%,FSv%,GDiff,GF%,PDO,PENDiff,SF%,SDiff,Sh%,Sv
10123,2016020268.0,20161119.0,20162017.0,MIN,COL,-170.0,150.0,2.0,3.0,0.0,REG,0.29999999999999716,0.8240963855421689,2.037690572210915,-0.9699999999999989,1.1935957830321566,2.9776834682361475,1.5599999999999998,16.839999999999996,5.570000000000007,10.0,-0.980000000000004,-1.1800000000000033,1.9480519480519487,3.6200000000000045
10124,2016020269.0,20161119.0,20162017.0,ARI,SJS,150.0,-170.0,3.0,2.0,1.0,OT,-6.700000000000003,0.7845622012467267,-1.0376742064779787,-7.760000000000005,0.9224775488642367,-0.9641651936365125,-0.8499999999999996,-7.450000000000003,-0.03999999999999204,-10.0,-7.859999999999999,-9.089999999999996,1.1484901724898966,-1.1899999999999977
10125,2016020270.0,20161119.0,20162017.0,VAN,CHI,140.0,-160.0,3.0,4.0,0.0,OT,1.2399999999999949,-1.9556937091320912,-1.4955379033048999,1.6799999999999997,-2.790059068729134,-2.0201941231427156,-1.6500000000000001,-16.22,-6.840000000000003,-5.0,2.5899999999999963,2.9200000000000017,-3.863736535932713,-2.980000000000004
10126,2016020271.0,20161120.0,20162017.0,WSH,CBJ,-200.0,170.0,2.0,3.0,0.0,REG,6.480000000000004,-1.7181588902900378,-0.3223092555386109,6.019999999999996,-2.380194331867505,-0.29591635431051033,-0.48,-3.1999999999999957,-4.299999999999997,5.0,7.25,8.39,-3.874306627780638,-0.4300000000000068
10127,2016020272.0,20161120.0,20162017.0,NYR,FLA,-180.0,160.0,2.0,2.0,0.0,OT,-4.030000000000001,2.9373665737959977,1.0865888397863288,-1.8999999999999986,3.819174084752064,0.9286522771989825,1.7200000000000002,13.269999999999996,6.159999999999997,3.0,-0.5599999999999952,-0.6499999999999986,5.146153600533597,1.0100000000000051
10128,2016020273.0,20161120.0,20162017.0,CAR,WPG,-145.0,125.0,3.0,1.0,1.0,REG,3.760000000000005,-0.7187542810173975,-0.4732402939002678,2.3600000000000065,-0.9515075088845588,-0.24707996406110322,-0.20999999999999996,-2.1099999999999994,-1.7299999999999898,5.0,2.3800000000000026,2.6499999999999986,-1.0825571391164481,-0.6400000000000006
10129,2016020274.0,20161120.0,20162017.0,DET,CGY,-145.0,125.0,2.0,3.0,0.0,REG,-2.6899999999999977,0.4295110076139135,1.2938150376671231,-3.009999999999998,0.44786640339911155,1.955548496610049,0.6400000000000001,5.719999999999999,3.6799999999999926,16.0,-3.710000000000001,-4.2499999999999964,0.4269234262875829,3.25
10130,2016020275.0,20161120.0,20162017.0,ANA,LAK,-146.0,126.0,2.0,3.0,0.0,REG,-5.740000000000002,1.0685822914381804,0.5956540191106585,-5.419999999999995,1.1954992967651192,0.9730439730907481,0.33000000000000007,3.280000000000001,3.010000000000005,-5.0,-5.200000000000003,-5.699999999999999,1.4910662135613026,1.5200000000000102
10131,2016020276.0,20161121.0,20162017.0,BUF,CGY,-130.0,110.0,4.0,2.0,1.0,REG,-3.3299999999999983,-0.7500926537649659,1.7145673701662423,-3.4200000000000017,-1.2051801925219645,2.521385655160535,0.23999999999999955,0.28999999999999915,2.1500000000000057,-1.0,-3.8100000000000023,-4.41,-1.9257738322899267,4.079999999999998
10132,2016020277.0,20161121.0,20162017.0,PIT,NYR,-170.0,150.0,2.0,5.0,0.0,REG,1.4399999999999977,-2.854578716647683,-0.4049393067439122,0.35999999999999943,-3.58159719442087,-0.4214260090588118,-1.54,-12.329999999999998,-5.280000000000001,-16.0,-0.4299999999999997,-0.5300000000000011,-5.068727480073278,-0.21000000000000796
10133,2016020278.0,20161121.0,20162017.0,CBJ,COL,-165.0,145.0,2.0,3.0,0.0,OT,-2.510000000000005,2.40697344500373,1.2250888659557368,-3.789999999999999,3.4090909090909096,1.843338232153846,1.71,15.970000000000006,7.269999999999996,12.0,-3.460000000000001,-3.950000000000003,5.491453495225744,1.789999999999992
10134,2016020279.0,20161121.0,20162017.0,NSH,TBL,-120.0,100.0,3.0,1.0,1.0,REG,-0.8200000000000003,-1.0560502409368497,-0.04876722369673292,-0.8999999999999986,-1.2616933593613335,-0.1700890648194009,-0.6499999999999999,-6.049999999999997,-2.1599999999999966,-6.0,-0.14000000000000057,-0.1600000000000037,-1.4442882284118719,-0.7199999999999989
10135,2016020280.0,20161121.0,20162017.0,DAL,MIN,-112.0,-108.0,3.0,2.0,1.0,OT,-2.1499999999999986,0.04182535264368667,-2.1215917365014825,-1.0499999999999972,-0.004307250538407303,-3.0690065867830074,-1.44,-14.030000000000001,-4.180000000000007,11.0,-1.2100000000000009,-1.4299999999999962,0.4614406394767928,-4.640000000000001
10136,2016020281.0,20161121.0,20162017.0,EDM,CHI,-106.0,-114.0,5.0,0.0,1.0,REG,1.019999999999996,-0.8688584966463874,-0.39706363408954504,2.1000000000000014,-1.4969820522045012,-0.5338661953916857,-0.56,-5.109999999999999,-2.7700000000000102,-11.0,2.190000000000005,2.539999999999999,-1.961110648803084,-0.8100000000000023
