,game_id,full_date,home_team,away_team,Open,goal_difference,won,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,VGK,WPG,WSH,goalsAgainst_cumul_sum,goalsFor_cumul_sum,goalsDiff_cumul_sum,goalsFor%_cumul_avg,pp%_cumul_avg,pk%_cumul_avg,sh%_cumul_avg,sv%_cumul_avg,PDO_cumul_avg,fenwickPercentage_cumul_avg,win%_last_10_games,win%_cumul
1002,2018021002,20190302,TOR,BUF,-275,3.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-11.0,-22.0,-11.0,-0.027882716242091488,-0.1206187042124542,-0.048371108058608,-0.014002234434363853,0.0036655953672308783,-0.010336639067133335,0.023260168269230663,-0.09999999999999998,0.022836538461538436
1003,2018021003,20190302,MTL,PIT,-113,-4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-67.0,57.0,124.0,0.15267578775391305,0.06678170787545784,0.05680002289377284,0.021053997994753007,0.019445248807686277,0.04049924680243966,0.050326009615384415,0.7,0.41009615384615383
1004,2018021001,20190302,BOS,NJD,-300,1.0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,8.0,-32.0,-0.021565660832773836,0.054096986016628934,0.014579199735449633,0.008747327317024947,-0.012658660745296757,-0.00391133342827199,-0.039761160714285704,-0.30000000000000004,-0.10243055555555558
1005,2018021007,20190302,ARI,DET,-158,2.0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,23.0,16.0,0.04204319985569982,-0.0034226190476190355,0.00993303571428572,0.006663653041266038,-0.013129962279152307,-0.006466309237885826,0.04527812500000028,0.29999999999999993,0.03125
1006,2018021006,20190302,STL,DAL,-165,-3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-34.0,-7.0,27.0,0.01236697330447356,0.0316592261904762,0.10892857142857149,-0.005422572331524836,0.013613413215833314,0.008190840884308215,0.02232031250000005,0.6000000000000001,0.125
1007,2018021008,20190302,CGY,MIN,-167,-2.0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0,55.0,61.0,0.08363797660672662,-0.007886904761904817,0.026736111111111183,0.028254524627873298,0.003478891831316222,0.03173341645918937,0.01630781250000013,0.19999999999999996,0.15625
1008,2018021009,20190303,NYR,WSH,148,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,8.0,-38.0,-46.0,-0.05384238824743631,-0.042690590659340666,-0.005216346153846141,-0.010054491104839539,-0.004389728902719381,-0.014444220007558295,-0.022301177884615275,-0.29999999999999993,-0.1473557692307692
1009,2018021010,20190303,NYI,PHI,-160,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,-68.0,-12.0,56.0,0.09342894952269948,0.006125228937728933,-0.024636561355311337,0.008025154187581499,0.02911098803509027,0.03713614222267181,-0.02558012019230771,-0.09999999999999998,0.10120192307692305
1010,2018021012,20190303,ANA,COL,127,1.0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.0,18.0,32.0,0.07880273249154368,0.06689976689976693,0.027042957042957116,-0.006667716812650035,0.0016583166160916152,-0.005009400196558378,0.0549796503496503,0.10000000000000003,0.11491841491841487
1011,2018021011,20190303,VGK,VAN,-245,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-5.0,-75.0,-70.0,-0.08824777786316251,-0.11454212454212453,0.02384615384615385,-0.020348740597139856,0.012311476977432734,-0.008037263619707469,-0.04783538461538467,-0.3,-0.06153846153846154
1012,2018021013,20190303,FLA,OTT,-255,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-29.0,10.0,39.0,0.04907147539960066,0.04198260073260077,0.038790636446886406,-0.0020994428529071685,-0.007476940895392081,-0.009576383748298944,0.05911550480769229,0.4,0.09903846153846152
1013,2018021014,20190303,CBJ,WPG,-118,-3.0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,-14.0,-15.0,0.0034812409812410294,-0.0955729166666667,0.08087797619047643,-0.008106059608759736,-0.012875213179291634,-0.020981272788051064,0.03157812500000012,0.09999999999999998,-0.03125
1014,2018021015,20190303,MIN,NSH,113,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,-18.0,-27.0,-0.04843125365513412,0.09420589360887871,-0.030093853078927757,-0.0022502685421130902,-0.01241514064113225,-0.014665409183245992,-0.019574695752008986,0.09999999999999998,-0.05993111366245696
1015,2018021016,20190303,SJS,CHI,-245,3.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-43.0,16.0,59.0,0.0616083062236909,-0.0027655677655676336,0.07408424908424893,-9.36118169898581e-05,-0.0036065595559148234,-0.0037001713729049035,0.07085538461538465,0.09999999999999998,0.16923076923076924
1016,2018021017,20190304,BUF,EDM,-125,-1.0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.0,3.0,9.0,-0.012279387279387266,-0.05860805860805862,0.0667765567765568,-0.0072587842211492976,0.006647298552968306,-0.0006114856681808112,0.014958461538461587,-0.10000000000000003,0.03076923076923077
1017,2018021018,20190304,CGY,TOR,-132,-4.0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4.0,-1.0,3.0,0.025811581580812315,0.003772893772893776,0.005641025641025754,0.0023539554026730525,-0.01192464166309204,-0.00957068626041968,0.023590769230769526,0.09999999999999998,0.01538461538461533
1018,2018021021,20190305,NYI,OTT,-375,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-16.0,-3.0,13.0,0.05139087408318177,0.09459096459096461,-0.0017948717948719217,0.0035196469371795575,0.017004003524499933,0.020523650461679033,-0.027429230769230983,0.09999999999999998,0.0461538461538461
1019,2018021019,20190305,BOS,CAR,-160,1.0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,-16.0,-40.0,-0.04289558085012635,0.021466588966589012,-0.029849039849040082,-0.006364484423558317,-0.0019662564726475873,-0.008330740896205668,-0.034031095571095404,0.0,-0.1750582750582751
1020,2018021020,20190305,NJD,CBJ,160,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93.0,-11.0,82.0,0.10955669751124336,-0.06200410700410702,-0.009963924963924953,0.005688985825811524,0.024190724553122323,0.02987971037893411,0.023865920745920588,0.2,0.2207459207459207
1021,2018021022,20190305,PIT,FLA,-205,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-18.0,21.0,39.0,0.04886233424694969,-0.01183150183150189,-0.006483516483516527,0.010091003761675071,0.015490936673596023,0.025581940435270956,-0.018701538461538603,0.09999999999999998,0.09230769230769231
1022,2018021023,20190305,TBL,WPG,-190,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-19.0,33.0,52.0,0.08304553190916841,0.025672660672660635,0.07812576312576314,0.013542931980021405,0.006405898377562447,0.019948830357584768,0.017189696969696966,0.4,0.1575757575757576
1023,2018021024,20190305,NSH,MIN,-200,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.0,18.0,27.0,0.047710939288479304,-0.0927213309566251,0.02955146705146705,0.0017758987545665184,0.011760220816823375,0.013536119571390559,0.020726336898395537,0.0,0.07397504456327986
1024,2018021025,20190305,DAL,NYR,-215,1.0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-45.0,-18.0,27.0,0.043145444299290514,0.017289377289377295,0.01586080586080585,-0.014377450856947777,0.017544683343906575,0.0031672324869582713,0.010418461538461377,0.2,0.09230769230769226
1025,2018021026,20190305,COL,DET,-220,1.0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.0,38.0,49.0,0.04891258573076768,0.0776745476745477,-0.014895104895104816,0.005944235833007183,0.0013851631548927879,0.007329398987899749,0.02699787878787896,0.39999999999999997,0.07039627039627039
1026,2018021027,20190305,ARI,ANA,-170,-2.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.0,31.0,50.0,0.05281661940752874,0.04965700965700964,0.0820157620157621,0.00840232462482969,-0.0004608442589505435,0.007941480365879605,0.045574452214452166,0.4,0.11351981351981355
1027,2018021028,20190305,LAK,MTL,110,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,-43.0,-54.0,-0.0503820337911246,0.05822399822399822,-0.02232517482517471,-0.005862762077022091,-0.006948990447354864,-0.01281175252437694,-0.04651743589743579,-0.30000000000000004,-0.16107226107226102
1028,2018021029,20190306,PHI,WSH,108,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,11.0,-23.0,-34.0,-0.04162579844398001,-0.07698412698412699,0.021067821067821124,-0.011319131358325199,-0.009207414532666491,-0.020526545890991788,0.012419696969697025,0.0,-0.09090909090909094
1029,2018021030,20190306,VAN,TOR,170,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,14.0,-62.0,-76.0,-0.0967983615710889,-0.08282828282828283,0.023989898989899006,-0.01994463494420079,-0.010947179651721872,-0.03089181459592283,-0.017510606060605727,-0.39999999999999997,-0.2121212121212121
1030,2018021031,20190306,ANA,STL,135,-1.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.0,-42.0,-64.0,-0.10779354145025816,-0.03683505549177188,-0.0022951178175060205,-0.010176090293913462,0.00817217471259557,-0.002003915581318627,-0.06568128587830091,-0.19999999999999996,-0.13501722158438578
1031,2018021032,20190306,VGK,CGY,-143,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-3.0,-36.0,-33.0,-0.02199018128461827,-0.028188064008959512,0.037453963946501245,-0.02585454965324549,0.005376534982681425,-0.020478014670563538,0.016641067390321007,-0.19999999999999996,-0.08389868837630032
1032,2018021033,20190307,BOS,FLA,-220,1.0,1,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.0,-10.0,50.0,0.07763814468359914,0.03950216450216448,-0.005808080808080929,-0.002771164463127515,0.029691983771792607,0.026920819308664745,0.011131818181818076,0.5,0.18181818181818182
1033,2018021034,20190307,PIT,CBJ,-130,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,5.0,24.0,19.0,0.02343683252774187,0.08282828282828283,-0.03611111111111143,0.008873972977208558,0.008164624376513663,0.017038597353722373,-0.025078787878787867,0.09999999999999998,-0.030303030303030276
1034,2018021036,20190307,DET,NYR,-115,0.0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93.0,11.0,-82.0,-0.10790994522337838,0.06111218797785964,0.0097677198423467,-0.004963815252749165,-0.023174317887729834,-0.028138133140479082,-0.024882994120307367,-0.3,-0.23247399366802357
1035,2018021035,20190307,OTT,NYI,192,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,6.0,-4.0,-10.0,0.0020942441396985534,-0.0032106782106781917,-0.009956709956710053,-0.005193218193486476,-0.005843010763214251,-0.011036228956700866,0.008887878787878722,-0.09999999999999998,-0.06060606060606061
1036,2018021037,20190307,TBL,MIN,-250,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-17.0,73.0,90.0,0.1190535418147361,0.061584932480454796,0.07728026533996679,0.03270295025928252,0.018756179222759628,0.051459129482042565,-0.0010791044776120584,0.4,0.2835820895522388
