,ANA,ARI,BOS,BUF,CAR,CBJ,CGY,CHI,COL,DAL,DET,EDM,FLA,LAK,MIN,MTL,NJD,NSH,NYI,NYR,OTT,PHI,PIT,SJS,STL,TBL,TOR,VAN,WPG,WSH,goalsAgainst_cumul_sum,goalsFor_cumul_sum,goalsDiff_cumul_sum,goalsFor%_cumul_avg,pp%_cumul_avg,pk%_cumul_avg,sh%_cumul_avg,sv%_cumul_avg,fenwickPercentage_cumul_avg,PDO_cumul_avg,last_10_games_win%,win%
1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,119.0,35.0,0.6163875013875016,0.22959183673469385,0.7662925170068028,0.11455192562375728,0.9156025685557326,0.5175542857142859,1.03015449417949,1.0,0.7714285714285715
1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,89.0,-6.0,0.4848214285714285,0.14322916666666666,0.7770833333333333,0.09127052457226445,0.9013459545758942,0.5083156249999999,0.9926164791481586,0.0,0.46875
1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,87.0,-14.0,0.47710059781488345,0.1376190476190476,0.8180952380952381,0.08792423815183038,0.8971299465409095,0.4997399999999999,0.9850541846927398,0.4,0.5142857142857142
1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,85.0,-5.0,0.4857981071216365,0.20931372549019608,0.7568627450980393,0.09879009443907419,0.8944840963052108,0.47964411764705883,0.9932741907442851,0.75,0.4117647058823529
1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,82.0,-25.0,0.42402050811141734,0.14040404040404042,0.8216450216450218,0.0853299006553985,0.8938551832388265,0.4773151515151514,0.9791850838942254,0.2,0.3333333333333333
1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,96.0,15.0,0.5233088460361189,0.20808080808080806,0.8168350168350168,0.10570378337593547,0.8931765056623234,0.5536242424242425,0.9988802890382588,0.5,0.5757575757575758
1017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,90.0,8.0,0.5340504613231885,0.17738095238095242,0.8461760461760462,0.09731210260004633,0.9117148370645247,0.4968666666666666,1.009026939664571,0.8,0.6060606060606061
1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,93.0,0.0,0.5035419126328217,0.2724747474747475,0.7680735930735931,0.10677344960924741,0.909839645733268,0.4764999999999999,1.0166130953425156,0.75,0.45454545454545453
1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,87.0,-17.0,0.44431181563534505,0.16204481792717088,0.7649159663865549,0.0946212147661872,0.9045724031841338,0.4505794117647059,0.9991936179503208,0.5,0.38235294117647056
1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,75.0,-3.0,0.4574314574314574,0.14747474747474745,0.7595959595959597,0.07462620801646327,0.9149055865130223,0.5105181818181818,0.9895317945294854,0.25,0.48484848484848486
1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,101.0,20.0,0.5674492174492174,0.1886724386724387,0.8156204906204908,0.10400910930617492,0.9089601321469143,0.5352272727272728,1.0129692414530889,0.5,0.6363636363636364
